1;28;138;3;9;5;3;2022-01-03;2022-01-15
2;193;41;3;8;5;4;2022-01-03;2022-01-13
3;152;37;14;5;7;5;2022-01-04;2022-01-11
4;70;65;7;12;2;2;2022-01-04;2022-01-17
5;187;70;20;14;1;7;2022-01-05;2022-01-18
6;31;15;13;5;8;5;2022-01-06;2022-01-18
7;140;73;10;1;8;4;2022-01-06;2022-01-19
8;20;27;12;1;2;4;2022-01-07;2022-01-08
9;166;100;19;18;3;1;2022-01-07;2022-01-18
10;125;135;8;17;4;7;2022-01-07;2022-01-17
11;33;126;1;16;4;5;2022-01-07;2022-01-12
12;74;122;9;1;3;4;2022-01-08;2022-01-11
13;147;153;17;3;7;5;2022-01-08;2022-01-15
14;115;80;15;6;3;3;2022-01-08;2022-01-15
15;159;48;14;20;7;1;2022-01-09;2022-01-11
16;151;84;1;11;4;1;2022-01-11;2022-01-12
17;176;113;9;10;3;8;2022-01-11;2022-01-14
18;189;62;16;19;5;3;2022-01-11;2022-01-21
19;168;63;17;19;7;3;2022-01-12;2022-01-22
20;156;117;16;11;5;1;2022-01-12;2022-01-16
21;69;99;2;20;8;1;2022-01-13;2022-01-25
22;133;16;10;3;8;5;2022-01-15;2022-01-17
23;15;129;4;15;7;3;2022-01-15;2022-01-17
24;57;47;2;4;8;7;2022-01-15;2022-01-29
25;163;111;15;2;3;8;2022-01-15;2022-01-27
26;29;9;3;12;5;2;2022-01-16;2022-01-26
27;102;119;19;2;3;8;2022-01-17;2022-01-25
28;96;104;10;1;8;4;2022-01-17;2022-01-19
29;45;94;19;16;3;5;2022-01-20;2022-02-03
30;44;49;7;7;2;2;2022-01-20;2022-01-31
31;9;76;15;15;3;3;2022-01-20;2022-01-23
32;82;113;1;11;4;1;2022-01-21;2022-01-27
33;178;87;2;14;8;7;2022-01-21;2022-02-01
34;38;91;6;6;3;3;2022-01-21;2022-01-23
35;73;6;20;11;1;1;2022-01-21;2022-01-26
36;6;83;8;3;4;5;2022-01-23;2022-02-06
37;59;12;20;13;1;8;2022-01-24;2022-01-27
38;116;150;13;17;8;7;2022-01-26;2022-01-28
39;96;1;5;20;5;1;2022-01-26;2022-01-30
40;56;102;19;11;3;1;2022-01-27;2022-01-31
41;107;139;10;5;8;5;2022-01-27;2022-01-30
42;49;91;13;8;8;4;2022-01-28;2022-01-31
